,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH.CITY,DEATHDATE,CEMETERY,CEME.CITY,CEME.STATE,CEME.COUNTRY,CEME.NOTE,BIRTH.NAME,NAME.CHG,BAT.CHG,HOF
1,aaronha01,Aaron,Henry Louis,Hank,02/05/1934,Mobile,01/22/2021,Southview Cemetery,Atlanta,Georgia,USA,,,,,HOF
2,aaronto01,Aaron,Tommie Lee,Tommie,08/05/1939,Mobile,08/16/1984,Catholic Cemetery,Mobile,Alabama,USA,,,,,
6,abadijo01,Abadie,John W.,John,11/04/1850,Philadelphia,05/17/1905,St. Denis Cemetery,Havertown,Pennsylvania,USA,,,,,
7,abbated01,Abbaticchio,Edward James,Ed,04/15/1877,Latrobe,01/06/1957,St. Mary Cemetery,Latrobe,Pennsylvania,USA,,,,,
8,abbeybe01,Abbey,Bert Wood,Bert,11/11/1869,Essex,06/11/1962,Mountain View Cemetery,Essex Junction,Vermont,USA,,,,,
9,abbeych01,Abbey,Charles S.,Charlie,10/14/1866,Falls City,04/27/1926,Steele Cemetery,Falls City,Nebraska,USA,,,,,
11,abbotda01,Abbott,Leander Franklin,Dan,03/16/1862,Portage,02/13/1930,Weston Cemetery,Weston,Ohio,USA,,,,,
12,abbotfr01,Abbott,Harry Frederick,Fred,10/22/1874,Versailles,06/11/1935,Pierce Brothers' Valhalla Memorial Park,North Hollywood,California,USA,,Harry Frederick Winbigler,,,
19,abbotod01,Abbott,Ody Cleon,Ody,09/05/1886,New Eagle,04/13/1933,Monongahela Cemetery,Monongahela,Pennsylvania,USA,,,,,
22,aberal01,Aber,Albert Julius,Al,07/31/1927,Cleveland,05/20/1993,Cremated- interred in West Park Cemetery,Cleveland,Ohio,USA,,,,,
24,abernbi01,Abernathie,William Edward,Bill,01/30/1929,Torrance,02/19/2006,Montecito Memorial Park,Colton,California,USA,,,,,
25,aberscl01,Aberson,Clifford Alexander,Cliff,08/28/1921,Chicago,06/23/1973,Suisun-Fairfield Cemetery,Fairfield,California,USA,,,,,
26,abercda01,Abercrombie,Francis Patterson,Frank,01/02/1850,Fort Towson,11/11/1939,Cremated,,,,,,,,
28,abernja01,Abernathy,Robert William,Robert,07/12/1917,Maury County,09/02/1997,Woodlawn Memorial Park & Mausoleum,Nashville,TN,USA,,,,,
29,abernte02,Abernathy,Theodore Wade,Ted,03/06/1933,Stanley,12/16/2004,Gaston Memorial Park,Gastonia,North Carolina,USA,,,,,
30,abernte01,Abernathy,Talmadge Lafayette,Ted,10/30/1921,Bynum,11/16/2001,Olney Presbyterian Church Cemetery,Gastonia,North Carolina,USA,,,,,
32,abernwo01,Abernathy,Virgil Woodrow,Woody,02/01/1915,Forest City,12/05/1994,Resthaven Memorial Park,Louisville,Kentucky,USA,,,,,
33,ablesha01,Ables,Harry Terrell,Harry,10/04/1883,Terrell,02/08/1951,San Jose Burial Park,San Antonio,Texas,USA,,,,,
36,abramca01,Abrams,Calvin Ross,Cal,03/02/1924,Philadelphia,02/25/1997,Star of David Memorial Gardens,North Lauderdale,Florida,USA,Garden Of Moses - Lot 205 - Grave 1,,,,
37,abramge01,Abrams,George Allen,George,11/09/1897,Seattle,12/05/1986,Sylvan Abbey Memorial Park,Clearwater,Florida,USA,,,,,
45,abreujo01,Abreu,Joseph Lawrence,Joe,05/24/1913,Oakland,03/17/1993,Evergreen-Washelli Cemetery,Seattle,Washington,USA,Cremated,,,,
49,abstebi01,Abstein,William Henry,Bill,02/02/1883,St. Louis,04/08/1940,Bethlehem Cemetery,Bellefontaine Neighbors,Missouri,USA,,,,,
60,acklefr01,Ackley,Florian Frederick,Fritz,04/10/1937,Hayward,05/22/2002,Greenwood Cemetery,Hayward,Wisconsin,USA,,,,,
66,acostme01,Acosta,Baldomero Pedro (Fernandez),Merito,05/19/1896,Bauta,11/17/1963,Flagler Memorial Park,Miami,Florida,USA,,,,,
71,adairbi99,Adair,Marion Danne,Bill,02/10/1913,Mobile,06/17/2002,Pine Crest Cemetery,Mobile,Alabama,USA,,,,,
72,adairje01,Adair,Kenneth Jerry,Jerry,12/17/1936,Sand Springs,05/31/1987,Woodland Memorial Park,Sand Springs,Oklahoma,USA,Section Y- 84- 1,,,,
73,adairji01,Adair,James Aubrey,Jimmy,01/25/1907,Waxahachie,12/09/1982,Sparkman-Hillcrest Memorial Park,Dallas,Texas,USA,,,,,
77,adamsac01,Adams,Ace Townsend,Ace,03/02/1910,Willows,02/26/2006,Friendship Cemetery,Donalsonville,Georgia,USA,,,,,
78,adamsbu01,Adams,Elvin Clark,Buster,06/24/1915,Trinidad,09/01/1990,Eternal Hills Memorial Park,Oceanside,California,USA,,,,,
79,adamsbo02,Adams,Robert Andrew,Bob,01/20/1907,Birmingham,03/06/1970,Restlawn Memorial Park,Jacksonville,Florida,USA,,,,,
80,adamsbo03,Adams,Robert Henry,Bobby,12/14/1921,Tuolumne,02/13/1997,Cremated,,,,Ashes retained by family,,,,
81,adamsba01,Adams,Charles Benjamin,Babe,05/18/1882,Tipton,07/27/1968,Mount Moriah Cemetery,Mount Moriah,Missouri,USA,Cremated at Fort Lincoln Cemetery- Brentwood- MD,,,,
83,adamsbe01,Adams,John Bertram,Jack,06/21/1891,Wharton,06/24/1940,Hollywood Forever Cemetery,North Hollywood,California,USA,,,,,
84,adamsbo01,Adams,Robert Burnette,Bob,07/24/1901,Holyoke,10/17/1996,Schuykill Haven Union Cemetery,Schuykill Haven,Pennsylvania,USA,,,,,
91,adamsdi01,Adams,Richard Leroy,Dick,04/08/1920,Tuolumne,09/14/2016,Cremated,,,,,,,,
92,adamsda01,Adams,Daniel Leslie,Dan,06/19/1887,St. Louis,10/06/1964,Resurrection Cemetery,St. Louis,Missouri,USA,,,,,
95,adamsge01,Adams,George Henry,George,01/25/1855,Worcester,10/11/1920,Normal Hill Cemetery,Lewiston,Idaho,USA,,,,,
96,adamshe01,Adams,Herbert Loren,Herb,04/14/1928,Hollywood,02/01/2012,Calvary Cemetery,Tulsa,Oklahoma,USA,,,,,
100,adamsjo01,Adams,Joseph Edward,Joe,10/28/1877,Cowden,10/08/1952,Myers Cemetery,Herrick,Illinois,USA,,,,,
102,adamska01,Adams,Karl Tutwiler,Karl,08/11/1891,Columbus,09/17/1967,Cypress Lawn Memorial Park,Everett,Washington,USA,,,,,
106,adamsmi01,Adamson,John Michael,Mike,09/13/1947,San Diego,05/07/2022,Cremated,,,,,,,,
108,adamsri02,Adams,Ricky Lee,Ricky,01/21/1959,Upland,10/28/2011,Bellevue Memorial Gardens,Ontario,California,USA,,,,,
112,adamsre01,Adams,Charles Dwight,Red,10/07/1921,Parlier,01/18/2017,Parlier Cemetery District,Sanger,California,USA,,,,,
113,adamsri01,Adams,Reuben Alexander,Rick,12/24/1878,Paris,03/10/1955,Providence Cemetery,Paris,Texas,USA,,,,,
114,adamssp01,Adams,Earl John,Sparky,08/26/1894,Zerbe,02/24/1989,St. Peter Church of Christ Cemetery,Tremont,Pennsylvania,USA,,,,,
115,adamssp02,Adams,Spencer Dewey,Spencer,06/21/1898,Layton,11/24/1970,Kaysville City Cemetery,Kaysville,Utah,USA,,,,,
121,adamswi01,Adams,James Irvin,Willie,09/27/1890,Clearfield,06/18/1937,Philipsburg Cemetery,Philipsburg- Centre County,Pennsylvania,USA,,,,,
122,adcocjo01,Adcock,Joseph Wilbur,Joe,10/30/1927,Coushatta,05/03/1999,Holly Springs Cemetery,Martin,Louisiana,USA,,,,,
124,addisbo01,Addis,Robert Gordon,Bob,11/06/1925,Mineral,11/15/2016,Greenlawn Cemetery,Akron,Ohio,USA,,,,,
128,addybo01,Addy,Robert Edward,Bob,02/  /1842,Port Hope,04/09/1910,Mountain View Cemetery,Pocatello,Idaho,USA,,,,,
130,adenhni01,Adenhart,Nicholas James,Nick,08/24/1986,Silver Spring,04/09/2009,Greenlawn Memorial Park,Williamsport,Maryland,USA,,,,,
131,aderhmo01,Aderholt,Morris Woodrow,Morrie,09/13/1915,Mount Olive,03/18/1955,Appomattox Cemetery,Hopewell,Virginia,USA,,,,,
132,adkindi01,Adkins,Richard Earl,Dick,03/03/1920,Electra,09/12/1955,Electra Memorial Park,Electra,Texas,USA,,,,,
133,adkindo01,Adkins,Merle Theron,Doc,08/05/1872,Troy,02/21/1934,Maplewood Cemetery,Durham,North Carolina,USA,,,,,
134,adkinde01,Adkins,John Dewey,Dewey,05/11/1918,Norcatur,12/26/1998,Wilsonville Cemetery,Wilsonville,Nebraska,USA,,,,,
135,adkingr01,Adkins,Grady Emmett,Grady,06/29/1897,Jacksonville,03/31/1966,Pine Crest Memorial Park,Alexander,Arkansas,USA,,,,,
136,adkinhe01,Atkinson,John Harry,Harry,06/16/1874,Fulton,01/02/1953,Hillcrest Cemetery,Fulton,Missouri,USA,,,,,
139,adlesda01,Adlesh,David George,Dave,07/15/1943,Long Beach,02/15/2016,Forest Lawn Memorial Park,Cypress,California,USA,,,,,
147,ageeto01,Agee,Tommie Lee,Tommie,08/09/1942,Magnolia,01/22/2001,Pine Crest Cemetery,Mobile,Alabama,USA,,,,,
148,agganha01,Agganis,Harry,Harry,04/20/1929,Lynn,06/27/1955,Pine Grove Cemetery,Lynn,Massachusetts,USA,Plot Z - Lot 75,,,,
149,aglerjo01,Agler,Joseph Abram,Joe,06/12/1887,Coshocton,04/26/1971,Harry Warstler Cemetery,Canton,Ohio,USA,,,,,
151,agnewsa01,Agnew,Samuel Lester,Sam,04/12/1887,Farmington,07/19/1951,Chapel of the Chimes,Santa Rosa,California,USA,,,,,
157,aguirha01,Aguirre,Henry John,Hank,01/31/1931,Azusa,09/05/1994,San Gabriel Mission Cemetery,San Gabriel,California,USA,,,,,
171,aitchra01,Aitchison,Raleigh Leonidas,Raleigh,12/05/1887,Tyndall,09/26/1958,Columbus City Cemetery,Columbus,Kansas,USA,,,,,
172,aitonge01,Aiton,George Wilson,George,12/29/1890,Kingman,08/16/1976,Cremated,,,,,,,,
173,akejo01,Ake,John Leckie,John,08/29/1861,Altoona,05/11/1887,Oak Grove Cemetery,La Crosse,Wisconsin,USA,,,,,
174,akersbi01,Akers,William G.,Bill,12/25/1904,Chattanooga,04/13/1962,Chattanooga National Cemetery,Chattanooga,Tennessee,USA,,,,,
176,akersje01,Akers,Albert Earl,Jerry,11/01/1887,Shelbyville,05/15/1979,Garden of Memories Cemetery,Tampa,Florida,USA,,,,,
184,albanjo01,Albanese,Joseph Peter,Joe,06/26/1933,New York,06/17/2000,St. George Cemetery,Neptune,New Jersey,USA,,,,,
187,albercy01,Alberts,Frederick Joseph,Cy,01/14/1882,Grand Rapids,08/27/1917,Catholic Cemetery,Fort Wayne,Indiana,USA,,,,,
189,albergu01,Alberts,Augustus Peter,Gus,09/  /1860,Reading,05/07/1912,Mt. Olivet Cemetery,Wheat Ridge,Colorado,USA,,,,,
197,albosed01,Albosta,Edward John,Ed,10/27/1918,Saginaw,01/07/2003,Mount Olivet Cemetery,Saginaw,Michigan,USA,Cremated,,,,
198,albrial01,Albritton,Alexander C.,Alex,02/12/1892,Live Oak,02/03/1940,Eden Cemetery,Collingdale,PA,USA,,,,,
199,albreed01,Albrecht,Edward Arthur,Ed,02/28/1929,St. Louis,12/29/1979,St. Joseph Cemetery,Dupo,Illinois,USA,,,,,
200,albrija01,Albright,Harold John,Jack,06/30/1921,St. Petersburg,07/22/1991,Fort Rosecrans National Cemetery,San Diego,California,USA,,,,,
201,albrith01,Albright,Thomas A.,Thomas,12/23/1909,Crockett,06/01/1986,Fairmount Cemetery,Denver,CO,USA,,,,,
